PacketCounter,SampleTimeFine,Pelvis_Acc_X,Pelvis_Acc_Y,Pelvis_Acc_Z,Pelvis_Gyr_X,Pelvis_Gyr_Y,Pelvis_Gyr_Z,RT_Acc_X,RT_Acc_Y,RT_Acc_Z,RT_Gyr_X,RT_Gyr_Y,RT_Gyr_Z,LT_Acc_X,LT_Acc_Y,LT_Acc_Z,LT_Gyr_X,LT_Gyr_Y,LT_Gyr_Z,RS_Acc_X,RS_Acc_Y,RS_Acc_Z,RS_Gyr_X,RS_Gyr_Y,RS_Gyr_Z,LS_Acc_X,LS_Acc_Y,LS_Acc_Z,LS_Gyr_X,LS_Gyr_Y,LS_Gyr_Z
52288,0,9.978306,-1.536395,-0.080979,0.403176,0.074616,0.263673,10.165333,-1.517088,2.308879,0.173722,0.423547,0.237466,9.231791,0.793231,-2.589987,0.304299,-0.065918,0.145569,11.330528,-4.165257,2.026997,-0.504469,-0.370226,1.356503,9.586244,0.82585,-2.063415,0.268364,0.048065,0.231057
52289,0,10.469983,-1.291866,-0.156769,0.388643,0.128746,0.361635,9.909032,-4.095262,0.331904,0.061455,0.224305,0.324555,9.2131,0.728112,-3.207274,0.28759,-0.062714,0.146942,9.558237,-0.672536,-0.251368,1.214608,-0.612053,1.196182,9.649392,0.809239,-2.500285,0.17807,0.072441,0.273743
52290,0,10.041262,-1.230927,-0.069339,0.359002,0.134697,0.396425,10.595799,-3.68911,0.105374,0.271913,0.186768,0.43213,9.319442,0.507202,-2.891394,0.2948,-0.056305,0.167999,9.068692,5.326031,-3.674725,1.403684,-0.787276,1.218281,9.705846,-0.26158,-2.445938,0.151978,0.091095,0.298005
52291,0,9.660716,-1.248038,-0.326213,0.329591,0.136528,0.388643,9.721761,-2.51813,1.094945,0.564884,0.306361,0.451358,9.462564,0.228622,-2.548692,0.295372,-0.037079,0.225678,9.671065,6.580305,-4.825885,-0.007668,-0.497603,1.470378,9.78136,-0.728837,-2.041246,0.13607,0.107117,0.331879
52292,0,9.653752,-1.298155,-0.397395,0.294801,0.172234,0.385667,8.55393,-2.463814,0.955908,0.693404,0.360492,0.405124,9.440971,0.243328,-1.947326,0.227623,-0.02861,0.290223,7.574165,1.486401,-2.547441,-0.722268,-0.413607,1.73271,9.567853,-0.243472,-1.600898,0.062943,0.094185,0.358315
52293,0,9.447893,-1.444317,-0.315334,0.300866,0.182191,0.379945,8.233981,-1.956147,0.36461,0.74433,0.281184,0.306246,9.339399,0.550438,-1.593448,0.209313,-0.039826,0.326386,7.040263,-0.781127,-1.451419,-0.256703,-0.804786,1.814659,9.427435,0.06779,-1.580497,-0.06134,0.065575,0.406037
52294,0,9.068421,-1.595535,-0.189168,0.300981,0.175553,0.365754,7.925355,-1.715697,-0.283866,0.606884,0.184136,0.271684,9.297707,1.385483,-1.721308,0.243989,-0.008926,0.344125,8.402623,0.715995,-1.462457,0.273071,-1.005305,1.925232,9.367677,0.833103,-1.260719,-0.103226,0.023804,0.462228
52295,0,8.736795,-1.56405,0.045618,0.256806,0.178643,0.357514,7.582081,-2.631383,-0.645324,0.469324,0.057221,0.28061,9.593956,2.245712,-1.48789,0.188713,0.031128,0.326844,9.609503,2.488032,-1.812899,0.274673,-0.752491,2.03945,9.465071,2.276277,-0.652411,-0.092354,0.016937,0.490724
52296,0,8.512807,-1.426791,0.184483,0.231743,0.159989,0.310364,7.811535,-3.128947,-0.69353,0.427095,-0.058022,0.292397,9.613876,2.324861,-0.976563,0.071526,0.064087,0.268593,9.110973,-0.473217,-1.617696,0.306147,-0.475415,2.139022,9.486784,1.226652,-0.697636,-0.205995,-0.062828,0.578959
52297,0,8.309961,-1.448358,0.12942,0.234375,0.13607,0.241242,7.583783,-3.810971,-0.639488,0.526888,-0.125771,0.34012,9.483402,0.711834,-0.653855,-0.025177,0.111809,0.262299,9.2724,-1.897352,-1.537785,0.964227,-0.41705,2.115463,9.258159,0.188109,-0.730986,-0.204507,-0.128632,0.615695
52298,0,8.253017,-1.68043,0.009111,0.248223,0.089607,0.147858,7.318703,-4.432185,-0.327556,0.563739,-0.144425,0.337831,9.542727,-0.350959,-0.457913,0.065918,0.142594,0.295716,9.222458,-0.27825,-2.513794,1.587419,-0.382491,2.009967,9.661986,-0.977806,-0.784681,-0.102082,-0.207597,0.626453
