Experiment no.,Subject_ID,Starting_Frame,Ending_Frame,Activity_ID
1,1,250,1232,5
1,1,1233,1392,7
1,1,1393,2194,4
1,1,2195,2359,8
1,1,2360,3374,5
1,1,3375,3662,11
1,1,3663,4538,6
1,1,4539,4735,10
1,1,4736,5667,4
1,1,5668,5859,9
1,1,5860,6786,6
1,1,6787,6977,12
1,1,7496,8078,1
1,1,8356,9250,1
1,1,9657,10567,1
1,1,10750,11714,1
1,1,13191,13846,3
1,1,14069,14699,2
1,1,14869,15492,3
1,1,15712,16377,2
1,1,16530,17153,3
1,1,17298,17970,2
2,1,251,1226,5
2,1,1227,1432,7
2,1,1433,2221,4
2,1,2222,2377,8
2,1,2378,3304,5
2,1,3305,3572,11
2,1,3573,4435,6
2,1,4436,4619,10
2,1,4620,5452,4
2,1,5453,5689,9
2,1,5690,6467,6
2,1,6468,6709,12
2,1,7624,8252,1
2,1,8618,9576,1
2,1,9991,10927,1
2,1,11311,12282,1
2,1,13129,13379,3
2,1,13495,13927,3
2,1,14128,14783,2
2,1,15037,15684,3
2,1,15920,16598,2
2,1,16847,17471,3
2,1,17725,18425,2
3,2,298,1398,5
3,2,1399,1555,7
3,2,1686,2627,4
3,2,2628,2769,8
3,2,2770,3904,5
3,2,3905,4322,11
3,2,4323,5139,6
3,2,5140,5417,10
3,2,5418,6190,4
3,2,6191,6415,9
3,2,6416,7367,6
3,2,7368,7548,12
3,2,8434,9501,1
3,2,9854,10926,1
3,2,11704,12390,3
3,2,12631,13306,2
3,2,13649,14244,3
3,2,14528,15166,2
3,2,15477,16002,3
3,2,16259,16870,2
4,2,524,1351,5
4,2,1352,1511,7
4,2,1512,2309,4
4,2,2310,2448,8
4,2,2449,3337,5
4,2,3338,3542,11
4,2,3543,4348,6
4,2,4349,4490,10
4,2,4491,5301,4
4,2,5302,5455,9
4,2,5456,6417,6
4,2,6418,6598,12
4,2,7306,8343,1
4,2,8720,9686,1
4,2,10438,11056,3
4,2,11294,11928,2
4,2,12171,12732,3
4,2,12986,13602,2
4,2,13862,14444,3
4,2,14705,15274,2
5,3,243,1364,5
5,3,1365,1506,7
5,3,1507,2360,4
5,3,2361,2470,8
5,3,2471,3618,5
5,3,3619,3834,11
5,3,3835,4850,6
5,3,4851,5074,10
5,3,5075,6059,4
5,3,6060,6210,9
5,3,6211,7378,6
5,3,7379,7562,12
5,3,8687,9837,1
5,3,10240,11305,1
5,3,14018,14694,2
5,3,15098,15693,3
5,3,15985,16611,2
5,3,16964,17559,3
5,3,17811,18477,2
5,3,18810,19325,3
5,3,19536,20152,2
6,3,482,1493,5
6,3,1494,1683,7
6,3,1684,2515,4
6,3,2516,2698,8
6,3,2699,3873,5
6,3,3874,4108,11
6,3,4109,5211,6
6,3,5212,5408,10
6,3,5409,6410,4
6,3,6411,6580,9
6,3,6581,7720,6
6,3,7721,7887,12
6,3,8700,9666,1
6,3,10005,10940,1
6,3,11720,12410,3
6,3,12703,13384,2
6,3,13660,14332,3
6,3,14587,15213,2
6,3,15375,15972,3
6,3,16146,16779,2
7,4,198,1291,5
7,4,1292,1527,7
7,4,1528,2381,4
7,4,2382,2511,8
7,4,2512,3416,5
7,4,3417,3748,11
7,4,3749,4816,6
7,4,4817,5031,10
7,4,5032,5896,4
7,4,5897,6120,9
7,4,6121,7109,6
7,4,7110,7275,12
7,4,8125,9269,1
7,4,9443,10483,1
7,4,11340,11596,3
7,4,11824,12047,3
7,4,12653,13437,2
7,4,13625,14341,3
7,4,14548,15230,2
7,4,15391,16025,3
7,4,16178,16814,2
8,4,230,1292,5
8,4,1293,1470,7
8,4,1471,2430,4
8,4,2431,2573,8
8,4,2574,3438,5
8,4,3439,3757,11
8,4,3758,4574,6
8,4,4575,4784,10
8,4,4785,5600,4
8,4,5601,5835,9
8,4,5836,6681,6
8,4,6682,6852,12
8,4,7873,8907,1
8,4,9045,10016,1
8,4,10629,11231,3
8,4,11392,11991,2
8,4,12205,12762,3
8,4,12939,13565,2
8,4,13729,14283,3
8,4,14391,15007,2
9,5,136,1221,5
9,5,1222,1386,7
9,5,1387,2199,4
9,5,2200,2325,8
9,5,2326,3314,5
9,5,3315,3660,11
9,5,3661,4599,6
9,5,4600,4855,10
9,5,4856,5686,4
9,5,5687,5906,9
9,5,5907,6876,6
9,5,6877,7049,12
9,5,7891,9023,1
9,5,9216,10237,1
9,5,11051,11704,3
9,5,11867,12553,2
9,5,12795,13414,3
9,5,13567,14201,2
9,5,14384,14963,3
9,5,15087,15725,2
10,5,153,1152,5
10,5,1153,1387,7
10,5,1388,2182,4
10,5,2183,2311,8
10,5,2312,3283,5
10,5,3284,3598,11
10,5,3599,4463,6
10,5,4464,4666,10
10,5,4667,5429,4
10,5,5430,5688,9
10,5,5689,6564,6
10,5,6565,6706,12
10,5,7443,8357,1
10,5,8547,9452,1
10,5,10006,10586,3
10,5,10751,11344,2
10,5,11526,12055,3
10,5,12187,12755,2
10,5,12928,13471,3
10,5,13593,14163,2
11,6,210,1116,5
11,6,1117,1301,7
11,6,1302,2315,4
11,6,2316,2429,8
11,6,2430,3666,5
11,6,3667,3979,11
11,6,3980,4907,6
11,6,4908,5080,10
11,6,5081,6138,4
11,6,6139,6296,9
11,6,6297,7335,6
11,6,7336,7521,12
11,6,8212,9291,1
11,6,9520,10519,1
11,6,11222,11813,3
11,6,11965,12633,2
11,6,12805,13386,3
11,6,13554,14180,2
11,6,14360,14944,3
11,6,15113,15763,2
12,6,207,1218,5
12,6,1219,1369,7
12,6,1370,2202,4
12,6,2203,2334,8
12,6,2335,3263,5
12,6,3264,3543,11
12,6,3544,4501,6
12,6,4502,4666,10
12,6,4667,5732,4
12,6,5733,5890,9
12,6,5891,6944,6
12,6,6945,7198,12
12,6,7925,8894,1
12,6,9124,10089,1
12,6,10704,11294,3
12,6,11437,12082,2
12,6,12225,12812,3
12,6,12970,13604,2
12,6,13731,14321,3
12,6,14479,15082,2
13,7,468,1498,5
13,7,1499,1612,7
13,7,1613,2477,4
13,7,2478,2570,8
13,7,2571,3498,5
13,7,3631,3836,11
13,7,3837,4746,6
13,7,4747,4892,10
13,7,4893,5832,4
13,7,5833,6089,9
13,7,6090,6998,6
13,7,6999,7204,12
13,7,8074,9152,1
13,7,9390,10382,1
13,7,11111,11830,3
13,7,12007,12719,2
13,7,13092,13718,3
13,7,13935,14540,2
13,7,14849,15407,3
13,7,15695,16286,2
14,7,505,1387,5
14,7,1388,1477,7
14,7,1478,2347,4
14,7,2348,2421,8
14,7,2422,3423,5
14,7,3424,3623,11
14,7,3624,4513,6
14,7,4514,4636,10
14,7,4637,5382,4
14,7,5383,5571,9
14,7,5572,6406,6
14,7,6407,6576,12
14,7,7236,8205,1
14,7,8503,9476,1
14,7,10323,10918,3
14,7,11170,11816,2
14,7,12076,12629,3
14,7,12927,13539,2
14,7,13778,14332,3
14,7,14504,15116,2
15,8,269,1192,5
15,8,1193,1303,7
15,8,1304,1926,4
15,8,1927,2000,8
15,8,2001,2804,5
15,8,2805,3015,11
15,8,3016,3941,6
15,8,3942,4101,10
15,8,4102,5081,4
15,8,5082,5247,9
15,8,5248,6149,6
15,8,6150,6322,12
15,8,7275,8197,1
15,8,8518,9267,1
15,8,9382,9522,1
15,8,10276,10834,3
15,8,11085,11657,2
15,8,11957,12466,3
15,8,12708,13272,2
15,8,13552,14072,3
15,8,14287,14840,2
16,8,202,1313,5
16,8,1314,1442,7
16,8,1443,2209,4
16,8,2210,2323,8
16,8,2324,3484,5
16,8,3485,3680,11
16,8,3681,4595,6
16,8,4596,4731,10
16,8,4732,5656,4
16,8,5657,5803,9
16,8,5804,6918,6
